,gender,group,parental,lunch,course,math,reading,writing
0,female,B,bachelor's degree,standard,none,,72,74
1,female,C,some college,standard,completed,69.0,90,88
2,female,B,,standard,none,90.0,95,93
3,male,A,associate's degree,free/reduced,none,47.0,57,44
4,male,C,some college,standard,none,76.0,78,75
5,female,B,associate's degree,standard,none,71.0,83,78
6,female,B,some college,standard,completed,88.0,95,92
7,male,B,some college,free/reduced,none,40.0,43,39
8,male,D,high school,free/reduced,completed,64.0,64,67
9,female,B,high school,free/reduced,none,38.0,60,50
10,male,C,associate's degree,standard,none,58.0,54,52
11,male,D,associate's degree,standard,none,40.0,52,43
12,female,B,high school,standard,none,65.0,81,73
13,male,A,some college,standard,completed,78.0,72,70
14,female,A,master's degree,standard,none,50.0,53,58
15,female,C,some high school,standard,none,69.0,75,78
16,male,C,high school,standard,none,88.0,89,86
17,female,B,some high school,free/reduced,none,18.0,32,28
18,male,C,master's degree,free/reduced,completed,46.0,42,46
19,female,C,associate's degree,free/reduced,none,54.0,58,61
20,male,D,high school,standard,none,66.0,69,63
21,female,B,some college,free/reduced,completed,65.0,75,70
22,male,D,some college,standard,none,44.0,54,53
23,female,C,some high school,standard,none,69.0,73,73
24,male,D,bachelor's degree,free/reduced,completed,74.0,71,80
25,male,A,master's degree,free/reduced,none,73.0,74,72
26,male,B,some college,standard,none,69.0,54,55
27,female,C,bachelor's degree,standard,none,67.0,69,75
28,male,C,high school,standard,none,70.0,70,65
29,female,D,master's degree,standard,none,62.0,70,75
30,female,D,some college,standard,none,69.0,74,74
31,female,B,some college,standard,none,63.0,65,61
32,female,E,master's degree,free/reduced,none,56.0,72,65
33,male,D,some college,standard,none,40.0,42,38
34,male,E,some college,standard,none,97.0,87,82
35,male,E,associate's degree,standard,completed,81.0,81,79
36,female,D,associate's degree,standard,none,74.0,81,83
37,female,D,some high school,free/reduced,none,50.0,64,59
38,female,D,associate's degree,free/reduced,completed,75.0,90,88
39,male,B,associate's degree,free/reduced,none,57.0,56,57
40,male,C,associate's degree,free/reduced,none,55.0,61,54
41,female,C,associate's degree,standard,none,58.0,73,68
42,female,B,associate's degree,standard,none,53.0,58,65
43,male,B,some college,free/reduced,completed,59.0,65,66
44,female,E,associate's degree,free/reduced,none,50.0,56,54
45,male,B,associate's degree,standard,none,65.0,54,57
46,female,A,associate's degree,standard,completed,55.0,65,62
47,female,C,high school,standard,none,66.0,71,76
48,female,D,associate's degree,free/reduced,completed,57.0,74,76
49,male,C,high school,standard,completed,82.0,84,82
50,male,E,some college,standard,none,53.0,55,48
51,male,E,associate's degree,free/reduced,completed,77.0,69,68
52,male,C,some college,standard,none,53.0,44,42
53,male,D,high school,standard,none,88.0,78,75
54,female,C,some high school,free/reduced,completed,71.0,84,87
55,female,C,high school,free/reduced,none,33.0,41,43
56,female,E,associate's degree,standard,completed,82.0,85,86
57,male,D,associate's degree,standard,none,52.0,55,49
58,male,D,some college,standard,completed,58.0,59,58
59,female,C,some high school,free/reduced,none,0.0,17,10
60,male,E,bachelor's degree,free/reduced,completed,79.0,74,72
61,male,A,some high school,free/reduced,none,39.0,39,34
62,male,A,associate's degree,free/reduced,none,62.0,61,55
63,female,C,associate's degree,standard,none,69.0,80,71
64,female,D,some high school,standard,none,59.0,58,59
65,male,B,some high school,standard,none,67.0,64,61
66,male,D,some high school,free/reduced,none,45.0,37,37
67,female,C,some college,standard,none,60.0,72,74
68,male,B,associate's degree,free/reduced,none,61.0,58,56
69,female,C,associate's degree,standard,none,39.0,64,57
70,female,D,some college,free/reduced,completed,58.0,63,73
71,male,D,some college,standard,completed,63.0,55,63
72,female,A,associate's degree,free/reduced,none,41.0,51,48
73,male,C,some high school,free/reduced,none,61.0,57,56
74,male,C,some high school,standard,none,49.0,49,41
75,male,B,associate's degree,free/reduced,none,44.0,41,38
76,male,E,some high school,standard,none,30.0,26,22
77,male,A,bachelor's degree,standard,completed,80.0,78,81
78,female,D,some high school,standard,completed,61.0,74,72
79,female,E,master's degree,standard,none,62.0,68,68
80,female,B,associate's degree,standard,none,47.0,49,50
81,male,B,high school,free/reduced,none,49.0,45,45
82,male,A,some college,free/reduced,completed,50.0,47,54
83,male,E,associate's degree,standard,none,72.0,64,63
84,male,D,high school,free/reduced,none,42.0,39,34
85,female,C,some college,standard,none,73.0,80,82
86,female,C,some college,free/reduced,none,76.0,83,88
87,female,D,associate's degree,standard,none,71.0,71,74
88,female,A,some college,standard,none,58.0,70,67
89,female,D,some high school,standard,none,73.0,86,82
90,female,C,bachelor's degree,standard,none,65.0,72,74
91,male,C,high school,free/reduced,none,27.0,34,36
92,male,C,high school,standard,none,71.0,79,71
93,male,C,associate's degree,free/reduced,completed,43.0,45,50
94,female,B,some college,standard,none,79.0,86,92
95,male,C,associate's degree,free/reduced,completed,78.0,81,82
96,male,B,some high school,standard,completed,65.0,66,62
97,female,E,some college,standard,completed,63.0,72,70
98,female,D,some college,free/reduced,none,58.0,67,62
99,female,D,bachelor's degree,standard,none,65.0,67,62
100,male,B,some college,standard,none,79.0,67,67
101,male,D,bachelor's degree,standard,completed,68.0,74,74
102,female,D,associate's degree,standard,none,85.0,91,89
103,male,B,high school,standard,completed,60.0,44,47
104,male,C,some college,standard,completed,98.0,86,90
105,female,C,some college,standard,none,58.0,67,72
106,female,D,master's degree,standard,none,87.0,100,100
107,male,E,associate's degree,standard,completed,66.0,63,64
108,female,B,associate's degree,free/reduced,none,52.0,76,70
109,female,B,some high school,standard,none,70.0,64,72
110,female,D,associate's degree,free/reduced,completed,77.0,89,98
111,male,C,high school,standard,none,62.0,55,49
112,male,A,associate's degree,standard,none,54.0,53,47
113,female,D,some college,standard,none,51.0,58,54
114,female,E,bachelor's degree,standard,completed,99.0,100,100
115,male,C,high school,standard,none,84.0,77,74
116,female,B,bachelor's degree,free/reduced,none,75.0,85,82
117,female,D,bachelor's degree,standard,none,78.0,82,79
118,female,D,some high school,standard,none,51.0,63,61
119,female,C,some college,standard,none,55.0,69,65
120,female,C,bachelor's degree,standard,completed,79.0,92,89
121,male,B,associate's degree,standard,completed,91.0,89,92
122,female,C,some college,standard,completed,88.0,93,93
123,male,D,high school,free/reduced,none,63.0,57,56
124,male,E,some college,standard,none,83.0,80,73
125,female,B,high school,standard,none,87.0,95,86
126,male,B,some high school,standard,none,72.0,68,67
127,male,D,some college,standard,completed,65.0,77,74
128,male,D,master's degree,standard,none,82.0,82,74
129,female,A,bachelor's degree,standard,none,51.0,49,51
130,male,D,master's degree,standard,none,89.0,84,82
131,male,C,some high school,free/reduced,completed,53.0,37,40
132,male,E,some college,free/reduced,completed,87.0,74,70
133,female,C,some college,standard,completed,75.0,81,84
134,male,D,bachelor's degree,free/reduced,completed,74.0,79,75
135,male,C,bachelor's degree,standard,none,58.0,55,48
136,male,B,some high school,standard,completed,51.0,54,41
137,male,E,high school,standard,none,70.0,55,56
138,female,C,associate's degree,standard,none,59.0,66,67
139,male,D,some college,standard,completed,71.0,61,69
140,female,D,some high school,standard,none,76.0,72,71
141,female,C,some college,free/reduced,none,59.0,62,64
142,female,E,some college,free/reduced,completed,42.0,55,54
143,male,A,high school,standard,none,57.0,43,47
144,male,D,some college,standard,none,88.0,73,78
145,female,C,some college,free/reduced,none,22.0,39,33
146,male,B,some high school,standard,none,88.0,84,75
147,male,C,associate's degree,free/reduced,none,73.0,68,66
148,female,D,bachelor's degree,standard,completed,68.0,75,81
149,male,E,associate's degree,free/reduced,completed,100.0,100,93
150,male,A,some high school,standard,completed,62.0,67,69
151,male,A,bachelor's degree,standard,none,77.0,67,68
152,female,B,associate's degree,standard,completed,59.0,70,66
153,male,D,bachelor's degree,standard,none,54.0,49,47
154,male,D,some high school,standard,none,62.0,67,61
155,female,C,some college,standard,completed,70.0,89,88
156,female,E,high school,free/reduced,completed,66.0,74,78
157,male,B,some college,free/reduced,none,60.0,60,60
158,female,B,associate's degree,standard,completed,61.0,86,87
159,male,D,associate's degree,free/reduced,none,66.0,62,64
160,male,B,associate's degree,free/reduced,completed,82.0,78,74
161,female,E,some college,free/reduced,completed,75.0,88,85
162,male,B,master's degree,free/reduced,none,49.0,53,52
163,male,C,high school,standard,none,52.0,53,49
164,female,E,master's degree,standard,none,81.0,92,91
165,female,C,bachelor's degree,standard,completed,96.0,100,100
166,male,C,high school,free/reduced,completed,53.0,51,51
167,female,B,master's degree,free/reduced,completed,58.0,76,78
168,female,B,high school,standard,completed,68.0,83,78
169,female,C,some college,free/reduced,completed,67.0,75,70
170,male,A,high school,standard,completed,72.0,73,74
171,male,E,some high school,standard,none,94.0,88,78
172,female,D,some college,standard,none,79.0,86,81
173,female,C,associate's degree,standard,none,63.0,67,70
174,female,C,bachelor's degree,free/reduced,completed,43.0,51,54
175,female,C,master's degree,standard,completed,81.0,91,87
176,female,B,high school,free/reduced,completed,46.0,54,58
177,female,C,associate's degree,standard,completed,71.0,77,77
178,female,B,master's degree,free/reduced,completed,52.0,70,62
179,female,D,some high school,standard,completed,97.0,100,100
180,male,C,master's degree,free/reduced,completed,62.0,68,75
181,female,C,some college,free/reduced,none,46.0,64,66
182,female,E,high school,standard,none,50.0,50,47
183,female,D,associate's degree,standard,none,65.0,69,70
184,male,C,some high school,free/reduced,completed,45.0,52,49
185,male,C,associate's degree,free/reduced,completed,65.0,67,65
186,male,E,high school,standard,none,80.0,76,65
187,male,D,some high school,standard,completed,62.0,66,68
188,male,B,some high school,free/reduced,none,48.0,52,45
189,female,C,bachelor's degree,standard,none,77.0,88,87
190,female,E,associate's degree,standard,none,66.0,65,69
191,male,D,some college,standard,completed,76.0,83,79
192,female,B,some high school,standard,none,62.0,64,66
193,male,D,some college,standard,completed,77.0,62,62
194,female,C,master's degree,standard,completed,69.0,84,85
195,male,D,associate's degree,standard,none,61.0,55,52
196,male,C,some high school,free/reduced,completed,59.0,69,65
197,male,E,high school,free/reduced,none,55.0,56,51
198,female,B,some college,free/reduced,none,45.0,53,55
199,female,B,bachelor's degree,free/reduced,none,78.0,79,76
200,female,C,associate's degree,standard,completed,67.0,84,86
201,female,D,some college,free/reduced,none,65.0,81,77
202,male,C,associate's degree,standard,none,69.0,77,69
203,female,B,associate's degree,standard,none,57.0,69,68
204,male,C,some college,standard,none,59.0,41,42
205,male,D,some high school,standard,completed,74.0,71,78
206,male,E,bachelor's degree,standard,none,82.0,62,62
207,male,E,high school,standard,completed,81.0,80,76
208,female,B,some college,free/reduced,none,74.0,81,76
209,female,B,some college,free/reduced,none,58.0,61,66
210,male,D,some high school,free/reduced,completed,80.0,79,79
211,male,C,some college,free/reduced,none,35.0,28,27
212,female,C,high school,free/reduced,none,42.0,62,60
213,male,C,associate's degree,free/reduced,completed,60.0,51,56
214,male,E,high school,standard,completed,87.0,91,81
215,male,B,some high school,standard,completed,84.0,83,75
216,female,E,associate's degree,free/reduced,completed,83.0,86,88
217,female,C,high school,free/reduced,none,34.0,42,39
218,male,B,high school,free/reduced,none,66.0,77,70
219,male,B,some high school,standard,completed,61.0,56,56
220,female,D,high school,standard,completed,56.0,68,74
221,male,B,associate's degree,standard,none,87.0,85,73
222,female,C,some high school,free/reduced,none,55.0,65,62
223,male,D,some high school,standard,none,86.0,80,75
224,female,B,associate's degree,standard,completed,52.0,66,73
225,female,E,master's degree,free/reduced,none,45.0,56,54
226,female,C,some college,standard,none,72.0,72,71
227,male,D,high school,standard,none,57.0,50,54
228,male,A,some high school,free/reduced,none,68.0,72,64
229,female,C,some college,standard,completed,88.0,95,94
230,male,D,some college,standard,none,76.0,64,66
231,male,C,associate's degree,standard,none,46.0,43,42
232,female,B,bachelor's degree,standard,none,67.0,86,83
233,male,E,some high school,standard,none,92.0,87,78
234,male,C,bachelor's degree,standard,completed,83.0,82,84
235,male,D,associate's degree,standard,none,80.0,75,77
236,male,D,bachelor's degree,free/reduced,none,63.0,66,67
237,female,D,some high school,standard,completed,64.0,60,74
238,male,B,some college,standard,none,54.0,52,51
239,male,C,associate's degree,standard,none,84.0,80,80
240,male,D,high school,free/reduced,completed,73.0,68,66
241,female,E,bachelor's degree,standard,none,80.0,83,83
242,female,D,high school,standard,none,56.0,52,55
243,male,E,some college,standard,none,59.0,51,43
244,male,D,some high school,standard,none,75.0,74,69
245,male,C,associate's degree,standard,none,85.0,76,71
246,male,E,associate's degree,standard,none,89.0,76,74
247,female,B,high school,standard,completed,58.0,70,68
248,female,B,high school,standard,none,65.0,64,62
249,male,C,high school,standard,none,68.0,60,53
250,male,A,some high school,standard,completed,47.0,49,49
251,female,D,some college,free/reduced,none,71.0,83,83
252,female,B,some high school,standard,completed,60.0,70,70
253,male,D,master's degree,standard,none,80.0,80,72
254,male,D,high school,standard,none,54.0,52,52
255,female,E,some college,standard,none,62.0,73,70
256,female,C,associate's degree,free/reduced,none,64.0,73,68
257,male,C,associate's degree,standard,completed,78.0,77,77
258,female,B,some college,standard,none,70.0,75,78
259,female,C,master's degree,free/reduced,completed,65.0,81,81
260,female,C,some high school,free/reduced,completed,64.0,79,77
261,male,C,some college,standard,completed,79.0,79,78
